Tier,Product,Limit
Basic,invest,3/day
Basic,cultivate,1/week
Basic,custom,1/day
Basic,tracking,1/day
Basic,risk,NL
Basic,history,NA
Basic,quickscore,NL
Basic,market,3/day
Basic,breakout,NA
Pro,invest,10/day
Pro,cultivate,3/day
Pro,custom,10/day
Pro,tracking,10/day
Pro,risk,NL
Pro,history,NL
Pro,quickscore,20/day
Pro,market,10/day
Pro,breakout,3/day
Enterprise,invest,NL
Enterprise,cultivate,5/day
Enterprise,custom,NL
Enterprise,tracking,NL
Enterprise,risk,NL
Enterprise,history,NL
Enterprise,quickscore,NL
Enterprise,market,NL
Enterprise,breakout,10/day
Singularity,invest,NL
Singularity,cultivate,NL
Singularity,custom,NL
Singularity,tracking,NL
Singularity,risk,NL
Singularity,history,NL
Singularity,quickscore,NL
Singularity,market,NL
Singularity,breakout,NL
Basic,briefing,NA
Basic,fundamentals,3/day
Pro,briefing,3/day
Pro,fundamentals,10/day
Enterprise,briefing,5/day
Enterprise,fundamentals,NL
Singularity,briefing,NL
Singularity,fundamentals,NL
