# portfolio_code: nexus_ntm
# timestamp_utc: 2025-12-15T01:47:47.576463+00:00
# ---BEGIN_DATA---
Ticker,Shares,LivePriceAtEval,ActualMoneyAllocation,ActualPercentAllocation,RawInvestScore,SubPortfolio,SubPortfolioPath
REMX,29.0,72.45999908447266,2101.339973449707,21.01339973449707,N/A,N/A,n > t > m >   > > >   > n > t > e > s > t >   > > >   > R > E > M > X
MU,14,241.13999938964844,3375.959991455078,33.75959991455078,N/A,N/A,n > t > m >   > > >   > n > t > e > s > t >   > > >   > M > U >   > > >   > n > t > m >   > > >   > M > a > r > k > e > t
WBD,20.0,29.981000900268555,599.6200180053711,5.996200180053711,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
WDC,3.0,176.33999633789062,529.0199890136719,5.290199890136718,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
ALB,4.0,132.74000549316406,530.9600219726562,5.309600219726562,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
TER,3.0,193.3699951171875,580.1099853515625,5.801099853515625,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
SNDK,2,206.17999267578125,412.3599853515625,4.123599853515625,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
DG,4.0,133.2100067138672,532.8400268554688,5.328400268554687,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
EPAM,2,209.6300048828125,419.260009765625,4.19260009765625,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
DLTR,4.0,129.8699951171875,519.47998046875,5.1947998046875,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
JBHT,2,198.67999267578125,397.3599853515625,3.9735998535156245,N/A,N/A,n > t > m >   > > >   > M > a > r > k > e > t
Cash,1.690032958984375,1.0,1.690032958984375,0.02,N/A,N/A,Cash
