Ticker,Beta (1y),Correlation (1y),Avg Leverage (Uptrend >50),Avg Leverage (Downtrend <50),Avg Leverage (General)
AAPL,1.2415,0.7490,-3.1531,2.0522,-2.0170
ABBV,0.4048,0.3037,5.9880,2.4513,5.2161
ABNB,1.2691,0.6548,-12.8347,-0.0542,-10.0453
ABT,0.2407,0.2132,2.1075,0.3676,1.7278
ACN,0.7809,0.5242,-12.2725,1.0892,-9.3563
ADBE,0.8636,0.5048,-7.6986,2.0557,-5.5697
ADI,1.5752,0.7858,-4.1528,1.3536,-2.9510
ADP,0.5537,0.5467,-2.5555,1.9719,-1.5674
ADSK,0.8985,0.6350,-0.0428,1.4709,0.2875
AEM,0.2683,0.1414,35.8951,0.1060,28.0840
AEP,0.0620,0.0627,-0.3215,0.4947,-0.1433
AFL,0.4726,0.4419,-2.1444,1.0533,-1.4465
AJG,0.3055,0.2388,0.1390,0.6913,0.2596
ALL,0.4826,0.3610,2.2823,1.4526,2.1012
ALNY,0.9144,0.4106,20.9922,1.8990,16.8250
AMAT,1.6062,0.6938,21.0925,0.5686,16.6131
AMD,2.0176,0.6570,14.5316,2.2682,11.8550
AMGN,0.4288,0.3054,6.1502,1.0374,5.0343
AMT,0.0536,0.0421,3.7952,1.3422,3.2598
AMX,0.3444,0.2665,2.0568,2.1910,2.0861
AMZN,1.3396,0.7568,-0.7710,-0.1819,-0.6424
ANET,1.6569,0.5659,2.0935,1.7463,2.0177
AON,0.3341,0.3024,-1.5084,2.2912,-0.6791
APD,0.8081,0.5712,-0.8520,1.9551,-0.2393
APH,1.3053,0.6960,14.7940,1.4102,11.8730
APO,1.6525,0.7661,-1.4623,2.0469,-0.6964
APP,2.1567,0.5333,-3.1438,1.3676,-2.1592
ARM,2.2232,0.7032,5.1750,2.1121,4.5065
ASML,1.3652,0.6771,8.6878,0.6499,6.9335
AVGO,1.8445,0.6034,5.2671,1.2188,4.3835
AXP,1.3301,0.8204,-4.9184,1.2801,-3.5655
AZN,0.4059,0.3113,-1.4812,0.6726,-1.0111
B,0.4978,0.2509,37.0586,0.9743,29.1830
BA,1.1770,0.6137,2.6010,1.7111,2.4068
BABA,0.8208,0.3314,10.8108,1.5597,8.7917
BAC,0.9597,0.7016,2.2939,0.5291,1.9088
BAM,1.2870,0.7390,-9.5205,1.5427,-7.1059
BBVA,0.7308,0.4681,7.7167,1.2853,6.3130
BCS,1.1325,0.6783,-2.9733,2.0194,-1.8836
BDX,0.5162,0.3306,1.7146,0.0231,1.3454
BHP,0.8498,0.5959,7.6848,0.0677,6.0223
BK,0.9054,0.7443,4.1739,1.3487,3.5573
BMY,0.3149,0.2124,2.4634,1.4188,2.2354
BN,1.4500,0.8413,-3.4005,1.9317,-2.2367
BNS,0.3982,0.4658,-1.0252,1.8979,-0.3872
BP,0.6721,0.4695,-2.6314,-0.3541,-2.1344
BRK-B,0.4859,0.5128,1.0200,0.8112,0.9744
BSX,0.6962,0.5712,1.1860,0.6729,1.0740
BTI,0.0857,0.0760,15.7403,1.3127,12.5914
BUD,0.2547,0.1956,5.7662,1.3040,4.7923
BX,1.5413,0.7889,-7.3203,1.6075,-5.3718
BYDDY,0.7126,0.3110,15.2505,-1.6491,11.5621
C,1.2283,0.7673,1.0866,0.9965,1.0669
CAT,1.1174,0.6908,2.3931,2.4722,2.4104
CB,0.2536,0.2459,-1.2514,1.4105,-0.6704
CDNS,1.3227,0.6702,-1.6083,-0.3653,-1.3370
CEG,1.6605,0.5281,7.9871,-0.6879,6.0937
CI,0.1202,0.0677,-12.6502,1.0950,-9.6502
CL,0.0402,0.0379,3.9523,-0.7801,2.9194
CM,0.4912,0.5351,-0.7589,2.0332,-0.1495
CMCSA,0.6170,0.4565,-9.6356,0.6419,-7.3925
CME,-0.0726,-0.0768,1.8565,1.3001,1.7351
CNI,0.5829,0.5066,-3.9567,0.9769,-2.8799
CNQ,0.8194,0.5427,-0.6225,0.8193,-0.3078
COF,1.4679,0.7850,-4.4541,0.9832,-3.2674
COIN,2.1933,0.5917,3.0272,0.1979,2.4097
COP,0.9823,0.5800,1.0321,0.8425,0.9907
COR,-0.0408,-0.0364,6.8765,1.2030,5.6382
COST,0.4715,0.4299,-0.7560,0.7379,-0.4299
CP,0.7293,0.5687,-2.0210,1.3238,-1.2910
CRH,1.1972,0.7067,0.0490,3.0015,0.6934
CRM,1.0032,0.6146,-13.0853,0.7509,-10.0655
CRWD,1.5554,0.6576,6.9850,0.4283,5.5540
CSCO,0.8495,0.7013,-0.2739,1.3646,0.0837
CSX,0.6842,0.5655,5.9327,1.0087,4.8580
CTAS,0.6115,0.4939,-5.4415,1.2426,-3.9827
CVNA,2.3798,0.6351,-8.5407,1.9090,-6.2600
CVS,0.2778,0.1610,-0.7328,1.8461,-0.1700
CVX,0.6609,0.5268,1.4826,0.6038,1.2908
D,0.3093,0.2725,2.2767,1.2651,2.0559
DASH,1.3376,0.5869,-4.4308,1.3073,-3.1785
DB,1.0943,0.5857,7.5252,1.4434,6.1978
DDOG,1.2377,0.4940,2.0543,0.9883,1.8216
DE,0.7685,0.5396,-4.2570,1.9468,-2.9030
DELL,1.7733,0.6807,8.4775,-0.8110,6.4502
DHR,0.9144,0.5486,-26.6031,0.1674,-20.7604
DIS,1.0375,0.6859,-7.2231,1.5583,-5.3065
DLR,0.8056,0.5793,-1.7012,1.3969,-1.0251
DUK,-0.0201,-0.0231,-2.3326,0.5777,-1.6974
EA,0.3052,0.1840,2.6106,0.3812,2.1240
ECL,0.5589,0.5215,0.3894,2.2024,0.7851
ELV,0.1693,0.0917,-5.4318,-0.0029,-4.2469
EMR,1.2364,0.8012,-5.5904,0.6469,-4.2291
ENB,0.2130,0.2387,4.8275,1.8506,4.1778
EOG,0.7905,0.5490,-0.2655,0.7098,-0.0526
EPD,0.4508,0.4746,-3.9404,0.2115,-3.0342
EQNR,0.4844,0.3042,-6.0699,-0.0585,-4.7579
ET,0.8464,0.6197,0.8950,-0.1367,0.6698
ETN,1.3821,0.7270,7.2775,1.3172,5.9766
F,0.8227,0.4838,-30.2691,1.5821,-23.3175
FCX,1.5978,0.6441,5.6855,-0.5916,4.3155
FDX,1.0068,0.6042,-5.9335,2.1094,-4.1781
FTNT,1.2130,0.5752,1.0402,0.1031,0.8357
GD,0.5226,0.4826,-3.1683,0.7872,-2.3050
GE,1.0741,0.6905,-0.9264,2.1207,-0.2613
GEV,1.7417,0.5901,11.1251,1.0974,8.9365
GILD,0.3666,0.2586,-5.6233,3.0818,-3.7234
GLW,1.2385,0.6694,-6.8345,0.6407,-5.2030
GM,0.8514,0.4513,-56.8065,0.6251,-44.2718
GOOG,1.0457,0.6301,11.1017,-0.0364,8.6708
GOOGL,1.0519,0.6254,12.0267,-0.0750,9.3855
GS,1.3323,0.8316,-2.3879,1.7364,-1.4878
GSK,0.2437,0.1688,8.5761,2.0188,7.1449
HCA,0.2916,0.2087,-2.9551,1.9517,-1.8842
HD,0.6335,0.5284,-0.7823,1.4958,-0.2851
HDB,0.2836,0.2688,-3.2115,0.4815,-2.4055
HLT,0.9127,0.6846,-3.9419,1.8834,-2.6705
HON,0.7777,0.6103,-0.4322,1.1783,-0.0807
HOOD,2.6409,0.6777,2.4240,1.7223,2.2708
HSBC,0.7558,0.5915,-5.8367,-0.0626,-4.5765
HWM,1.1715,0.6772,-8.4433,2.4825,-6.0587
IBKR,1.6256,0.7021,9.0522,1.8660,7.4838
IBM,0.7192,0.4646,-2.4283,2.2530,-1.4066
IBN,0.2658,0.2757,-4.3799,0.4562,-3.3244
ICE,0.4374,0.4498,-3.3518,1.1934,-2.3598
INFY,0.7286,0.5391,-10.6047,0.5138,-8.1780
ING,0.7822,0.5631,4.3392,1.5045,3.7205
INTC,1.5518,0.4748,12.1618,1.1545,9.7594
INTU,0.8918,0.5643,-1.5846,1.1361,-0.9908
ISRG,1.2206,0.6650,-9.9900,0.5535,-7.6889
ITUB,0.5522,0.3840,-1.1439,1.6555,-0.5330
ITW,0.7537,0.6583,-4.6851,1.3197,-3.3745
JCI,1.1143,0.7059,-2.2639,2.1295,-1.3050
JNJ,0.0571,0.0571,0.0423,0.3856,0.1172
JPM,0.9625,0.7511,6.0518,0.8726,4.9214
KKR,1.8088,0.7731,-17.8848,1.5003,-13.6539
KMI,0.5870,0.4570,-2.3903,-0.3664,-1.9486
KO,0.0542,0.0596,-16.2891,0.8587,-12.5466
LHX,0.4063,0.3602,-0.4862,1.2083,-0.1164
LIN,0.5748,0.5851,5.0638,1.2389,4.2290
LLY,0.6344,0.3086,3.3675,1.4922,2.9582
LMT,0.2015,0.1497,6.2040,1.0374,5.0764
LOW,0.6325,0.5115,-1.8343,1.3944,-1.1296
LRCX,1.8701,0.7587,3.8981,1.0798,3.2830
LSEGY,0.2787,0.1911,0.3839,1.1434,0.5497
LYG,0.8003,0.5291,0.9759,0.7432,0.9251
MA,0.7545,0.6496,-1.4931,1.5667,-0.8253
MAR,1.0598,0.7108,-10.1972,1.8278,-7.5727
MCD,0.1840,0.1951,0.4538,1.2986,0.6382
MDLZ,0.0993,0.0874,1.5957,1.5317,1.5818
MDT,0.4495,0.4004,-8.2011,0.9306,-6.2081
MET,1.0875,0.7503,-2.6329,1.5165,-1.7273
META,1.3875,0.7134,6.8502,0.5445,5.4740
MFC,1.0197,0.7466,-3.5960,1.4915,-2.4856
MFG,1.0515,0.6122,-9.4552,1.2722,-7.1139
MMC,0.3394,0.3269,0.2349,1.0749,0.4182
MMM,1.0246,0.6795,-26.0009,1.9113,-19.9089
MNST,0.3223,0.2705,6.9693,0.8161,5.6263
MO,-0.0066,-0.0064,2.4292,0.3685,1.9795
MPC,1.0101,0.5728,3.2788,1.5591,2.9035
MPLX,0.5358,0.5121,-1.5766,-0.0312,-1.2393
MRK,0.3697,0.2401,-1.6325,0.7476,-1.1130
MRVL,2.3491,0.6578,-2.1322,0.3394,-1.5928
MS,1.3171,0.8323,1.5954,0.6502,1.3891
MSFT,0.8913,0.7114,-0.6421,0.7787,-0.3320
MSI,0.5125,0.4410,2.1069,0.9174,1.8473
MSTR,2.1718,0.5447,-9.7777,3.5869,-6.8609
MU,2.1772,0.6677,-4.0809,0.5358,-3.0733
MUFG,0.9618,0.6101,-2.1446,1.3942,-1.3722
NDAQ,0.8720,0.7180,-3.2619,1.0130,-2.3289
NEE,0.3767,0.2633,-5.9323,0.2699,-4.5787
NEM,0.5419,0.2614,36.3343,-0.2202,28.3562
